neighbourhood_group,room_type,average_price,average_n_reviews_per_month,average_minimum_nights
Bronx,Entire home/apt,126.976253298153,1.8247493403693928,4.6279683377308718
Bronx,Private room,64.278033794162809,1.3174654377880182,3.2995391705069115
Bronx,Shared room,59.783333333333324,0.96883333333333332,2.6166666666666667
Brooklyn,Entire home/apt,170.57982841598633,1.1254425612052725,5.6528562460765768
Brooklyn,Private room,73.921587991309693,0.98982619000593053,4.9218842583448437
Brooklyn,Shared room,50.77372262773725,0.75476885644768865,7.5109489051094975
Manhattan,Entire home/apt,229.87983027731528,0.86213289892407907,9.1310804667374317
Manhattan,Private room,111.05950889501362,1.1452543222250027,4.6857930343272445
Manhattan,Shared room,88.5541666666667,1.3296458333333345,4.018749999999998
Queens,Entire home/apt,143.63501908396907,1.6350381679389294,4.5739503816793849
Queens,Private room,68.625148279952569,1.5481998813760367,4.8235468564650157
Queens,Shared room,60.671717171717162,1.1690909090909094,4.0707070707070754
Staten Island,Entire home/apt,146.2670454545455,1.7679545454545464,4.4204545454545441
Staten Island,Private room,62.292553191489375,1.4370744680851069,3.6329787234042548
Staten Island,Shared room,57.444444444444443,0.74,2.3333333333333335
