neighbourhood_group,average_price,n_listings
Bronx,85.831192660550357,1090
Brooklyn,119.42274197561613,20095
Manhattan,182.96108033241018,21660
Queens,96.095305330038286,5666
Staten Island,101.79892761394107,373
