neighbourhood_group,average_price,average_monthly_n_reviews,average_minimum_nights
Bronx,85.831192660550357,1.474660550458716,3.723853211009172
Brooklyn,119.42274197561613,1.0495232644936594,5.32251803931327
Manhattan,182.96108033241018,0.97682733148660683,7.379639889196679
Queens,96.095305330038286,1.5670755382986212,4.70490645958349
Staten Island,101.79892761394107,1.5763806970509386,3.9731903485254652
